id,store,title,price,info,search_value,link,image_url
1,Amazon,Apple iPhone 15 (128 GB) - Black,"SAR 2,699.00",N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToxMzAwMDI2MDkzOTE1NTE5OjE3MzA5NTQxNDY6c3BfYXRmOjMwMDA1Mzc5MTY1MjAzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHXGL9PN%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1730954146%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61bCKBrMVNL._AC_UL320_.jpg
2,Amazon,Apple iPhone 14 Plus (128 GB) - (PRODUCT) RED,"SAR 2,599.00",N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToxMzAwMDI2MDkzOTE1NTE5OjE3MzA5NTQxNDY6c3BfYXRmOjIwMDc4MzI5NTEwMDk4OjowOjo&url=%2FApple-iPhone-14-Plus-128%2Fdp%2FB0BDHLY9YZ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1730954146%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/611mRs-imxL._AC_UL320_.jpg
3,Amazon,Apple iPhone 15 Plus (128 GB) - Black,"SAR 3,649.00",N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToxMzAwMDI2MDkzOTE1NTE5OjE3MzA5NTQxNDY6c3BfYXRmOjMwMDA1Mzc5MTY1NTMzMjo6MDo6&url=%2FApple-iPhone-15-Plus-128%2Fdp%2FB0CHXVLXRQ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1730954146%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/610fHdeK4LL._AC_UL320_.jpg
4,Amazon,Apple iPhone 16 (128 GB) - Black,"SAR 3,799.00",N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToxMzAwMDI2MDkzOTE1NTE5OjE3MzA5NTQxNDY6c3BfYXRmOjMwMDMzMzY0MDYxOTgzMjo6MDo6&url=%2FApple-iPhone-16-128-GB%2Fdp%2FB0DGK2GQY9%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1730954146%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61-251PVEZL._AC_UL320_.jpg
5,Amazon,Apple iPhone 16 (128 GB) - Black,"SAR 3,799.00",N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-16-128-GB/dp/B0DGK2GQY9/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI&dib_tag=se&keywords=iPhone+16&qid=1730954146&sr=8-5,https://m.media-amazon.com/images/I/61-251PVEZL._AC_UL320_.jpg
6,Amazon,Apple iPhone 16 Pro Max (256 GB) - Natural Titanium,"SAR 5,699.00",N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-Pro-Max-256/dp/B0DGJN6RDB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI&dib_tag=se&keywords=iPhone+16&qid=1730954146&sr=8-6,https://m.media-amazon.com/images/I/61AFDN06yqL._AC_UL320_.jpg
7,Amazon,Apple iPhone 16 Pro (256 GB) - Desert Titanium,"SAR 5,199.00",N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-16-Pro-256/dp/B0DGJNRF2H/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI&dib_tag=se&keywords=iPhone+16&qid=1730954146&sr=8-7,https://m.media-amazon.com/images/I/617ZhMUCvIL._AC_UL320_.jpg
8,Amazon,Apple iPhone 16 Plus (128 GB) - Ultramarine,"SAR 4,199.00",N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-Plus-128-Ultramarine/dp/B0DGJPGXKV/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI&dib_tag=se&keywords=iPhone+16&qid=1730954146&sr=8-8,https://m.media-amazon.com/images/I/71Ecl1RS5jL._AC_UL320_.jpg
9,Amazon,Apple iPhone 16 Silicone Case with MagSafe - Ultramarine,SAR 229.00,N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-Silicone-Case-MagSafe/dp/B0DGHZGS29/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI&dib_tag=se&keywords=iPhone+16&qid=1730954146&sr=8-9,https://m.media-amazon.com/images/I/61CerkjtDiL._AC_UL320_.jpg
10,Amazon,"JETech 5 in 1 Case for iPhone 16 6.1-Inch with 2 Pack Each Tempered Glass Screen Protectors and Camera Lens Protectors, Non-Yellowing Shockproof Bumper Phone Cover (Clear)",SAR 39.94,N/A,iPhone 16,https://www.amazon.sa/-/en/JETech-6-1-Inch-Protectors-Non-Yellowing-Shockproof/dp/B0D9YKWBFT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZW6x1EqujZkF6o0J-O_iJlvqkxvH1moj3hIV15SJd39ClJVTtyxJuDyylWBiHusH1qjjgADqrmWohhQ-FvWewakNTmAIq6CzeoWV40AAz9gTGlRp1ozUSk2wnsPJpd9RHhEpU4TZXCjgZ_Ys7tXRwWt9LvdFAhOm29ZzdwObBOmr-6RsOuuci50qJn0-DK__CjmG6J1KoDWx4NF_AVW30JPNAc2fXQKASTsevp-mGswB8oup7RJZIr57aZSBzTSb-vkXjFjZAg1TRtJ1OUj3MGA.Smps6a_aES8hqv77zFPBrJ7WjXP425k7-hvEr0DnytI&dib_tag=se&keywords=iPhone+16&qid=1730954146&sr=8-10,https://m.media-amazon.com/images/I/71uHVpuZhjL._AC_UL320_.jpg
